Год,Месяц,Скорость груженым,"Тонн ГМ на единицу оборудования в год, т",Средний грузооборот на единицу АС,"Средняя загрузка АС, т",Модель оборудования,Имя оборудования,Id Equip
2024,Июнь 2024,15.62,2637623.83,823693.35,180.2086450540316,KOMATSU 730-E,730E_39,866
2024,Июнь 2024,15.38,2733752.67,843790.6,187.5559265442404,KOMATSU 730-E,730E_40,867
2024,Июнь 2024,15.51,2680499.17,863231.95,185.60657118786858,KOMATSU 730-E,730E_41,868
2024,Июнь 2024,14.63,2255569.82,813995.61,178.77463837994176,NHL NTE200,NHL NTE200_43,1415
2024,Июнь 2024,14.93,2320785.58,818934.89,180.80521327014227,NHL NTE200,NHL NTE200_44,1416
2024,Июнь 2024,14.9,2366997.02,825467.75,180.6385329619312,NHL NTE200,NHL NTE200_45,1417
2024,Июнь 2024,14.22,2392828.07,760331.05,181.59815327793157,NHL NTE200,NHL NTE200_46,1418
2024,Июнь 2024,14.77,2400469.95,836166.25,182.85347544022218,NHL NTE200,NHL NTE200_47,1419
2024,Июнь 2024,15.26,2360648.45,854924.87,184.08529411764692,NHL NTE200,NHL NTE200_48,1420
2024,Июнь 2024,14.99,2372717.78,829019.29,185.55461465271185,NHL NTE200,NHL NTE200_49,1445
2024,Июнь 2024,14.61,2201782.2,797575.53,176.37307317073177,NHL NTE200,NHL NTE200_50,1446
2024,Июнь 2024,15,2430462,848862.64,186,NHL NTE200,NHL NTE200_51,1447
2024,Июнь 2024,15.04,2177059.53,793355.89,181.1097165991902,NHL NTE200,NHL NTE200_52,1448
2024,Июнь 2024,14.68,2213317.42,850479.34,182.09859859859878,NHL NTE200,NHL NTE200_53,1449
2024,Июнь 2024,15.47,2333129.88,833002.41,179.21878504672887,NHL NTE200,NHL NTE200_54,1450
2024,Июнь 2024,14.72,2241248.43,748848.2,174.11361058601153,NHL NTE200,NHL NTE200_55,1481
2024,Июнь 2024,,1783244,425612.79,186,NHL NTE200,NHL NTE200_56,1490
2024,Июнь 2024,,1785507,484600.84,186,NHL NTE200,NHL NTE200_57,1491
2024,Июнь 2024,,1733458,442506.85,186,NHL NTE200,NHL NTE200_58,1496
2024,Июнь 2024,,1509421,442661.62,,NHL NTE200,NHL NTE200_59,1497
2024,Июнь 2024,,1432479,471731.75,186,NHL NTE200,NHL NTE200_60,1498
2024,Июнь 2024,,1934865,509120.73,186,NHL NTE200,NHL NTE200_61,1499
2024,Июнь 2024,,1773900,479302.76,,NHL NTE200,NHL NTE200_62,1533
2024,Июль 2024,15.5,2545345.16,914817.66,185.72164948453607,KOMATSU 730-E,730E_13,501
2024,Июль 2024,15.93,2853134.35,870298.5,185.54441041347627,KOMATSU 730-E,730E_14,502
2024,Июль 2024,16.07,3539499.19,854278.55,184.42638036809817,KOMATSU 730-E,730E_15,503
2024,Июль 2024,15.76,3086392.9,885993.51,184.93361581920905,KOMATSU 730-E,730E_16,504
2024,Июль 2024,15.76,2502534.19,862495.61,180.27480916030535,KOMATSU 730-E,730E_17,505
2024,Июль 2024,15.44,2792932.9,918520.81,186.63099921321793,KOMATSU 730-E,730E_18,506
2024,Июль 2024,16.06,4094040.16,800807.27,185.64495461825948,KOMATSU 730-E,730E_19,507
2024,Июль 2024,15.15,2919375.97,870939.44,184.75931445603578,KOMATSU 730-E,730E_20,508
2024,Июль 2024,15.79,3199213.23,879966.66,185.343792633015,KOMATSU 730-E,730E_21,509
2024,Июль 2024,15.88,3036270.16,898678.62,184.45994277539342,KOMATSU 730-E,730E_22,510
2024,Июль 2024,15.54,3474234.84,843682.03,186.2828282828283,KOMATSU 730-E,730E_23,511
2024,Июль 2024,15.04,2793686.45,920784.2,186.38805970149255,KOMATSU 730-E,730E_24,512
2024,Июль 2024,15.49,3193691.13,862020.05,185.15017064846415,KOMATSU 730-E,730E_25,513
2024,Июль 2024,14.88,2131023.06,870718.35,186.781217750258,KOMATSU 730-E,730E_26,514
2024,Июль 2024,14.95,2675650.16,878200.39,184.90398698128558,KOMATSU 730-E,730E_27,515
2024,Июль 2024,14.94,2920941.94,901486.14,186.24624624624624,KOMATSU 730-E,730E_28,516
2024,Июль 2024,14.92,2880674.19,882111.75,184.23192771084337,KOMATSU 730-E,730E_29,517
2024,Июль 2024,15.91,2625574.52,868800.19,178.1102236421725,KOMATSU 730-E,730E_37,864
2024,Июль 2024,15.78,3051282.26,944909.81,191.82087342709104,KOMATSU 730-E,730E_38,865
2024,Июль 2024,16.16,2722393.71,911980.7,180.49726775956285,KOMATSU 730-E,730E_39,866
2024,Июль 2024,15.04,2689108.06,909926.99,186.4408163265306,KOMATSU 730-E,730E_40,867
2024,Июль 2024,15.25,2671811.77,905463.76,185.69639934533552,KOMATSU 730-E,730E_41,868
2024,Июль 2024,15.05,2382670.55,889505.52,179.55971606033708,NHL NTE200,NHL NTE200_43,1415
2024,Июль 2024,14.84,2396460.48,858642.74,177.91520979020964,NHL NTE200,NHL NTE200_44,1416
2024,Июль 2024,14.99,2482332.03,870122.42,177.76408094435104,NHL NTE200,NHL NTE200_45,1417
2024,Июль 2024,14.42,2283504.76,781882.74,180.24302973977683,NHL NTE200,NHL NTE200_46,1418
2024,Июль 2024,14.75,2247509.87,862801.01,179.7404896421847,NHL NTE200,NHL NTE200_47,1419
2024,Июль 2024,15.15,2388763.69,875586.81,180.6601068566342,NHL NTE200,NHL NTE200_48,1420
2024,Июль 2024,15.35,2615444,885307.11,183.2785478547853,NHL NTE200,NHL NTE200_49,1445
2024,Июль 2024,14.5,2297061.56,826344.38,173.10816326530608,NHL NTE200,NHL NTE200_50,1446
2024,Июль 2024,14.63,2339078.95,852348.91,181.75800548947848,NHL NTE200,NHL NTE200_51,1447
2024,Июль 2024,14.9,2418502.95,824807.62,179.23830715532296,NHL NTE200,NHL NTE200_52,1448
2024,Июль 2024,14.86,2477844.89,845738.38,179.40929241261728,NHL NTE200,NHL NTE200_53,1449
2024,Июль 2024,15.44,2224050.97,862683.92,174.7382053654023,NHL NTE200,NHL NTE200_54,1450
2024,Июль 2024,14.56,2260337.85,743036.17,175.96141154903754,NHL NTE200,NHL NTE200_55,1481
2024,Июль 2024,,1973190,544120.52,,NHL NTE200,NHL NTE200_56,1490
2024,Июль 2024,,2135250,562449.01,186,NHL NTE200,NHL NTE200_57,1491
2024,Июль 2024,,2049840,546289.97,,NHL NTE200,NHL NTE200_58,1496
2024,Июль 2024,,2056410,556452.97,186,NHL NTE200,NHL NTE200_59,1497
2024,Июль 2024,,1815510,667739.77,,NHL NTE200,NHL NTE200_60,1498
2024,Июль 2024,,2229420,577440.42,,NHL NTE200,NHL NTE200_61,1499
2024,Июль 2024,,2069550,555405.88,,NHL NTE200,NHL NTE200_62,1533
2024,Август 2024,15.56,3389213.39,831376.84,185.3515775917579,KOMATSU 730-E,730E_13,501
2024,Август 2024,15.35,2977622.9,836400.48,186.63763837638376,KOMATSU 730-E,730E_14,502
2024,Август 2024,15.79,3133407.26,856132.8,183.914996544575,KOMATSU 730-E,730E_15,503
